population,households,median_income,median_house_value,total_bedrooms,latitude,longitude,housing_median_age,,,
2107,955,44092,120700,1070,34.2286261,-78.1649646,19,,,
1854,563,66745,117600,742,34.0863541,-78.4963032,35,,,
2888,1295,30288,128700,1752,34.06929,-78.3889582,26,,,
1277,539,34125,85800,599,34.252044500000004,-78.1218108,25,,,
492,214,70125,121100,229,34.16348120000001,-78.1433632,26,,,
1671,626,42574,122500,745,34.133001,-78.2376273,27,,,
3323,1168,43051,171600,1330,34.0182139,-78.1976448,21,,,
0,0,,,0,33.857347999999995,-78.547182,,,,
2435,829,61141,168200,925,34.0464474,-78.0561087,23,,,
1897,772,44136,169400,1250,33.9596152,-78.175475,30,,,
522,235,43625,302300,482,33.922756299999996,-78.0270038,28,,,
627,165,73542,212100,201,33.929846000000005,-78.0190857,36,,,
227,137,78750,470000,818,33.914050399999994,-78.2072778,32,,,
954,450,77500,189000,1180,33.922721200000005,-78.1507813,30,,,
1234,539,25258,154800,678,33.96136370000001,-78.3563102,32,,,
1365,430,30833,81900,845,33.9321815,-78.3191611,26,,,
996,467,26820,105900,693,33.9549216,-78.2873461,31,,,
1729,722,50773,218200,1135,33.9628319,-78.2492812,23,,,
2002,770,38500,128900,965,33.9888927,-78.5039079,25,,,
1143,539,56424,199200,650,33.914488399999996,-78.6066145,13,,,
1220,656,51120,181400,965,33.9045158,-78.576881,27,,,
562,263,76250,423500,739,33.9224305,-78.2558578,19,,,
1517,569,68508,317800,886,33.897069099999996,-78.5269253,21,,,
755,383,83542,269000,820,33.9069249,-78.4647659,18,,,
623,256,63977,281800,685,33.896514,-78.4538674,25,,,
157,93,72917,368800,1472,33.8825113,-78.4691191,26,,,
1499,786,23646,636700,965,35.594879999999996,-82.5532037,2018,,,
1426,591,32670,376000,653,35.6056351,-82.5724487,49,,,
789,353,64750,422500,421,35.6043959,-82.563407,2018,,,
1425,666,84342,361000,691,35.5815093,-82.5309895,50,,,
1158,539,54632,323900,564,35.5737908,-82.5447818,69,,,
1040,479,30614,304000,531,35.5873469,-82.5383674,55,,,
1653,669,20066,148600,704,35.571172,-82.5590102,43,,,
790,447,,202800,512,35.5862781,-82.5619687,45,,,
606,252,,213800,387,35.586153700000004,-82.5556045,47,,,
2018,782,53026,223300,930,35.5829632,-82.5731989,73,,,
1800,648,43542,258600,781,35.5708523,-82.5798815,57,,,
804,399,51467,289800,440,35.571782,-82.5723181,66,,,
1321,678,43243,238900,797,35.6040284,-82.5526648,2018,,,
1009,483,31853,,525,35.6037659,-82.5826799,44,,,
1250,676,36667,131800,717,35.5940675,-82.5831676,37,,,
2051,760,41953,184900,846,35.6009939,-82.6149173,34,,,
1129,532,88889,491100,727,35.6261783,-82.5385531,51,,,
681,417,52841,618100,440,35.610918100000006,-82.5443218,2018,,,
2350,976,44750,221900,1113,35.5477088,-82.5030942,27,,,
3183,1245,43026,195200,1430,35.5357332,-82.525301,33,,,
1444,733,45096,156000,808,35.5944846,-82.4719483,38,,,
1821,766,54415,252100,853,35.582491299999994,-82.4523637,33,,,
1732,684,42308,172600,788,35.606934499999994,-82.2967296,40,,,
1348,315,75038,263900,575,35.6379758,-82.2906495,44,,,
1488,711,47334,239600,1166,35.700607899999994,-82.3124706,41,,,
973,375,34014,186400,466,35.577279,-82.6017488,65,,,
2581,1076,44375,175000,1185,35.63115429999999,-82.5874345,50,,,
1253,389,36023,,483,35.5603032,-82.6128918,39,,,
1266,602,57013,191500,660,35.5704407,-82.6111217,61,,,
1027,431,57917,223200,431,35.5863258,-82.5994658,54,,,
2098,1025,38972,210700,1105,35.5810206,-82.4853663,54,,,
1739,970,49010,200300,1017,35.575356400000004,-82.5024297,34,,,
1394,658,39022,200000,766,35.590445200000005,-82.5453765,35,,,
1629,697,48295,323600,837,35.66672979999999,-82.562287,30,,,
2324,894,79524,353800,1000,35.6274203,-82.5619283,59,,,
1183,474,69531,595500,562,35.637139399999995,-82.560329,61,,,
2244,1150,24856,148000,1264,35.5684821,-82.525457,45,,,
594,143,33542,165900,217,35.5592125,-82.5288624,51,,,
1501,771,42423,153900,771,35.5634261,-82.5097591,2018,,,
1538,637,159904,850600,721,35.535056299999994,-82.5556527,61,,,
863,481,28856,172500,588,35.5885605,-82.3857357,57,,,
2300,782,47885,159000,823,35.6016041,-82.4211955,42,,,
866,399,,144700,415,35.5788399,-82.4184803,31,,,
2402,910,29444,202900,1045,35.5880138,-82.6168286,38,,,
1823,710,41375,148000,819,35.7746197,-82.4934022,32,,,
1018,398,47813,175200,487,35.7458021,-82.3826569,39,,,
1090,524,49527,344300,634,35.636726700000004,-82.5147001,51,,,
1617,711,92452,426700,850,35.652675,-82.516147,44,,,
2280,869,51067,206600,935,35.6770674,-82.5161874,31,,,
1365,548,64655,245900,597,35.6988106,-82.4509565,35,,,
3587,1183,44350,173500,1321,35.7365811,-82.6220138,24,,,
1077,472,51466,178700,604,35.7722611,-82.5491897,31,,,
1301,569,45096,220800,632,35.7451436,-82.5728168,29,,,
1859,845,51283,197000,1076,35.5918424,-82.3385987,37,,,
2702,952,53621,213500,1110,35.7445011,-82.5198436,20,,,
2414,800,42979,170500,974,35.6877735,-82.3555208,32,,,
1436,738,42857,264500,795,35.6309968,-82.3479838,32,,,
692,268,22197,,268,35.6066576,-82.3678136,23,,,
887,339,65486,226600,454,35.617127,-82.3279875,55,,,
1240,585,57261,243800,585,35.624306,-82.3278891,56,,,
1809,816,65500,300400,927,35.5462131,-82.4843624,30,,,
1439,663,77668,312800,764,35.507712299999994,-82.4812889,26,,,
